depth,start
1,NA
1,538464
1,538475
1,NA
1,539948
1,540015
1,NA
1,543577
1,543625
1,NA
1,543859
1,544295
1,NA
1,545145
1,545164
1,NA
1,547166
1,547201
1,NA
1,547826
1,547963
1,NA
1,550440
1,550572
1,NA
1,552254
1,552258
1,NA
1,552938
1,552941
1,NA
1,554661
1,554711
1,NA
1,558809
1,558828
1,NA
1,559517
1,559528
1,NA
1,559799
1,559949
1,NA
1,560417
1,560910
1,NA
1,562459
1,562477
1,NA
1,562723
1,562741
1,NA
1,564207
1,564220
1,NA
1,565546
1,565562
1,NA
1,565655
1,565802
1,NA
1,566165
1,566174
1,NA
1,566462
1,566477
1,NA
1,567117
1,567153
1,NA
1,567599
1,567659
1,NA
1,567924
1,567958
1,NA
1,568224
1,568260
1,NA
1,568285
1,568475
1,NA
1,568739
1,568786
1,NA
1,569687
1,569831
1,NA
1,570959
1,570996
1,NA
1,571308
1,571314
1,NA
1,572376
1,572379
1,NA
1,572959
1,573046
1,NA
1,575041
1,575473
1,NA
1,576460
1,576485
1,NA
1,576730
1,576816
1,NA
2,577896
2,577970
2,NA
2,578407
2,578441
2,NA
1,577768
1,578453
1,NA
1,578883
1,579028
1,NA
2,579854
2,579877
2,NA
1,579047
1,580142
1,NA
1,580587
1,580713
1,NA
1,581425
1,581815
1,NA
1,582339
1,582416
1,NA
1,582896
1,582922
1,NA
1,584201
1,584590
1,NA
1,585596
1,585606
1,NA
1,585967
1,585980
1,NA
1,586004
1,586014
1,NA
1,586265
1,586323
1,NA
1,587491
1,587739
1,NA
1,588568
1,588578
1,NA
1,589499
1,589509
1,NA
2,590282
2,590292
2,NA
1,589785
1,590352
1,NA
1,591408
1,591554
1,NA
1,592623
1,592652
1,NA
1,592674
1,592799
1,NA
1,593557
1,593641
1,NA
1,593760
1,593894
1,NA
1,594809
1,594812
1,NA
1,594992
1,595341
1,NA
1,596178
1,596210
1,NA
1,596328
1,596340
1,NA
1,596374
1,596384
1,NA
1,597639
1,598360
1,NA
1,599634
1,599640
1,NA
1,600826
1,600862
1,NA
1,601354
1,601373
1,NA
1,602227
1,602315
1,NA
1,602406
1,602415
1,NA
1,602463
1,602472
1,NA
1,602570
1,602740
1,NA
1,603194
1,603203
1,NA
1,603223
1,603243
1,NA
1,604207
1,604225
1,NA
1,605188
1,607353
1,NA
1,607411
1,607648
1,NA
1,607771
1,607896
1,NA
1,608330
1,608333
1,NA
1,608432
1,608435
1,NA
1,608513
1,608516
1,NA
1,610353
1,610381
1,NA
1,610611
1,610650
1,NA
1,611452
1,611471
1,NA
1,611503
1,611526
1,NA
1,611540
1,611690
1,NA
1,611937
1,612342
1,NA
1,612515
1,612531
1,NA
1,616797
1,617224
1,NA
1,618011
1,618057
1,NA
1,619527
1,619558
1,NA
1,621982
1,622002
1,NA
1,625818
1,625858
1,NA
1,625923
1,626558
1,NA
1,627072
1,627174
1,NA
1,627592
1,627597
1,NA
1,629309
1,629335
1,NA
1,630503
1,630949
1,NA
1,631886
1,631915
1,NA
1,633276
1,633435
1,NA
1,633777
1,634075
1,NA
1,634149
1,634152
1,NA
1,634288
1,634298
1,NA
